customer_id,signup_date,home_market,preferred_channel,loyalty_tier,last_visit_days_ago,visits_30d,visits_90d,visits_180d,hotel_nights_180d,dining_visits_90d,entertainment_visits_90d,spa_visits_90d,total_spend_180d,avg_spend_per_visit,email_open_rate,promotion_clicks_90d,prior_offer_count_180d,prior_offer_redemptions_180d,service_cases_180d,weekend_visit_share,booking_lead_days_avg,responded_to_campaign
100027,2023-03-02,UAE,WhatsApp,Bronze,110,1,5,11,1,4,2,1,2175.67,197.79,0.397,1,1,0,3,0.419,15.5,0
100028,2024-04-02,North America,Email,Gold,62,1,4,6,3,1,2,0,5786.23,964.37,0.586,3,0,0,1,0.593,37.8,0
100029,2024-08-25,India,App Push,Bronze,40,0,1,6,1,2,2,0,2274.12,379.02,0.429,0,1,0,0,0.706,12.0,0
100030,2024-08-15,India,App Push,Gold,5,3,4,14,1,5,3,1,4746.59,339.04,0.468,1,2,1,1,0.515,21.9,0
100031,2025-07-01,UK/EU,WhatsApp,Gold,27,1,2,7,4,1,3,1,5534.48,790.64,0.489,1,0,0,0,0.265,23.5,1
100032,2026-01-10,UK/EU,WhatsApp,Platinum,41,1,3,5,2,3,3,1,6827.21,1365.44,0.364,1,1,0,2,0.692,18.5,1
100033,2024-03-19,UAE,SMS,Silver,61,2,6,8,2,3,0,2,3726.79,465.85,0.116,2,1,0,0,0.557,8.8,0
100034,2022-11-29,Other,Email,Bronze,30,2,3,7,1,2,1,0,1588.47,226.92,0.453,2,2,1,0,0.605,19.1,0
100035,2026-02-19,Other,Phone,Gold,3,3,9,15,3,3,2,2,4788.3,319.22,0.438,4,3,1,0,0.651,13.7,1
100036,2023-01-10,North America,Email,Platinum,46,3,7,11,6,6,4,1,8914.49,810.41,0.591,0,2,0,1,0.45,7.0,0
100037,2023-02-23,India,SMS,Bronze,35,0,1,5,1,1,0,0,2093.93,418.79,0.442,0,3,1,0,0.388,19.1,1
100038,2025-04-21,India,Email,Gold,46,1,3,3,4,0,1,0,5684.42,1894.81,0.228,1,4,1,1,0.681,23.0,1
100039,2023-11-30,India,WhatsApp,Silver,0,6,11,16,2,2,3,1,3944.24,246.52,,3,2,1,1,0.666,16.1,1
100040,2025-09-27,UAE,WhatsApp,Bronze,38,0,0,4,1,3,0,0,3142.45,785.61,0.483,1,1,0,0,0.648,36.2,0
100041,2023-06-02,GCC,WhatsApp,Silver,0,3,10,17,2,4,4,1,3526.14,207.42,0.199,0,4,1,2,0.698,9.1,0
100042,2023-08-24,India,Email,Silver,83,0,3,7,2,3,3,0,4321.18,617.31,0.315,0,2,1,0,0.39,26.2,0
100043,2024-12-31,India,Email,Bronze,35,0,1,3,0,2,0,1,1858.72,619.57,0.288,1,0,0,0,0.464,13.1,0
100044,2026-02-13,GCC,Email,Bronze,21,3,9,11,1,1,3,0,2359.53,214.5,0.669,1,2,2,0,0.291,0.6,0
100045,2022-08-02,GCC,Phone,Silver,12,0,1,2,0,5,1,1,3216.88,1608.44,0.67,1,4,2,0,0.589,29.7,0
100046,2024-08-22,India,Email,Silver,42,2,6,7,2,0,0,1,4029.62,575.66,0.487,4,3,0,2,0.451,8.4,0
100047,2022-11-21,GCC,Phone,Bronze,4,3,4,4,1,1,0,1,2953.52,738.38,0.455,0,2,0,0,0.657,27.7,0
100048,2023-09-25,Other,Email,Bronze,45,1,3,5,1,1,0,0,2499.33,499.87,0.513,2,2,1,0,0.539,12.8,0
100049,2023-05-04,UK/EU,App Push,Bronze,29,4,7,15,0,4,2,0,919.92,61.33,0.468,4,2,1,1,0.397,12.3,1
100050,2023-05-31,UAE,SMS,Silver,86,1,5,6,2,3,1,0,3491.81,581.97,0.146,2,1,0,0,0.358,27.3,0
100051,2025-08-16,UAE,App Push,Silver,14,0,2,10,1,4,3,0,3758.6,375.86,0.651,0,2,1,2,0.723,22.5,0
100052,2024-12-17,UK/EU,WhatsApp,Bronze,25,2,3,7,0,3,1,0,1224.64,174.95,0.201,0,0,0,1,0.582,13.1,0
100053,2024-07-23,GCC,WhatsApp,Silver,3,1,7,21,2,6,6,0,4304.73,204.99,0.356,0,1,1,1,0.529,19.6,0
100054,2024-06-09,North America,WhatsApp,Bronze,12,1,2,6,0,3,2,0,929.74,154.96,0.4,0,5,1,0,0.631,2.4,1
100055,2026-03-20,UAE,Email,Silver,26,5,11,21,3,5,2,0,3731.4,177.69,0.357,1,2,1,2,0.422,19.4,1
100056,2024-03-31,UAE,App Push,Bronze,18,2,7,15,0,1,2,2,2189.69,145.98,0.519,2,2,1,2,0.692,20.1,0
100057,2025-10-13,GCC,WhatsApp,Bronze,23,2,2,8,0,1,0,0,874.91,109.36,0.735,2,2,0,2,0.807,21.1,0
100058,2023-06-23,UK/EU,Email,Bronze,0,4,7,15,1,1,1,0,2743.34,182.89,0.377,0,2,1,2,0.441,7.9,0
100059,2023-09-18,Other,Email,Bronze,20,2,2,4,0,1,0,0,1257.16,314.29,0.409,1,4,1,1,0.553,16.8,0
100060,2022-10-10,North America,SMS,Bronze,2,2,3,5,0,3,2,0,2931.69,586.34,0.611,2,0,0,1,0.635,19.3,0
100061,2023-06-21,GCC,App Push,Silver,25,0,4,8,3,0,3,0,4291.71,536.46,0.518,1,0,0,0,0.647,34.2,0
100062,2024-12-13,UK/EU,WhatsApp,Silver,1,1,7,10,2,2,4,0,4177.84,417.78,0.256,0,6,0,0,0.157,24.6,0
100063,2022-08-07,UAE,Email,Gold,32,1,3,6,2,1,0,0,4855.49,809.25,0.392,2,2,1,0,0.1,35.3,0
100064,2024-10-11,India,WhatsApp,Bronze,0,2,4,8,0,1,2,2,2157.4,269.68,0.376,2,3,2,0,0.78,40.0,0
100065,2025-02-10,Other,Email,Bronze,8,2,4,5,0,1,1,2,1608.82,321.76,0.48,2,2,1,0,0.357,25.2,0
100066,2022-11-04,GCC,Email,Bronze,97,1,4,4,2,1,0,0,-207.46,524.86,0.454,2,2,0,1,0.554,3.2,0
100067,2024-12-08,Other,App Push,Bronze,9,4,5,9,0,2,2,0,1630.73,181.19,0.342,1,2,0,1,0.306,3.8,0
100068,2026-02-01,UAE,Email,Bronze,92,1,2,2,0,3,0,0,1398.04,699.02,0.35,1,2,1,0,0.923,10.3,0
100069,2024-07-19,UAE,Email,Bronze,39,0,3,4,0,1,0,0,1178.27,294.57,0.337,1,1,0,0,0.555,21.5,0
100070,2023-04-10,India,Email,Silver,59,2,2,3,2,1,0,0,4214.13,1404.71,0.373,1,2,0,1,0.524,29.3,1
100071,2025-08-24,North America,Email,Bronze,188,1,1,2,1,2,0,1,3048.99,1524.5,0.361,1,0,0,0,0.445,18.5,0
100072,2024-07-28,UAE,Email,Bronze,30,2,3,4,1,2,2,1,3089.71,772.43,0.631,3,2,1,1,0.499,7.3,1
100073,2025-11-17,UK/EU,Email,Bronze,31,1,2,5,0,2,1,0,879.42,175.88,0.426,3,1,0,0,0.536,16.0,1
100074,2023-09-13,UAE,SMS,Bronze,14,0,2,3,1,0,1,0,1344.36,448.12,0.372,2,2,1,0,0.66,20.0,0
100075,2024-07-10,UK/EU,App Push,Silver,102,1,6,9,0,1,0,1,3287.18,365.24,0.455,3,2,1,0,0.641,18.9,0
100076,2025-02-03,India,Email,Silver,39,2,10,13,2,6,2,0,3700.16,284.63,0.189,0,2,0,1,0.198,24.5,0
100077,2025-07-01,UAE,App Push,Silver,83,1,5,9,3,6,4,0,4411.5,490.17,0.578,4,2,2,0,0.517,5.7,1
100078,2024-03-05,UK/EU,WhatsApp,Bronze,59,0,0,2,0,3,0,0,1732.62,866.31,0.458,2,0,0,0,0.806,22.5,1
100079,2023-10-07,UK/EU,Email,Silver,27,2,4,14,2,5,5,0,4301.57,307.26,0.426,1,1,0,1,0.76,25.3,0
100080,2022-09-15,India,Email,Bronze,15,0,2,6,1,2,2,0,1931.16,321.86,0.663,3,1,0,2,0.521,20.0,0
100081,2024-09-03,UAE,Email,Silver,57,2,2,5,2,4,2,1,3336.92,667.38,0.4,1,1,1,0,0.545,9.9,0
100082,2025-10-04,UAE,WhatsApp,Bronze,9,1,4,10,0,1,1,1,2771.18,277.12,0.397,0,2,1,1,0.642,23.9,0
100083,2023-02-16,Other,WhatsApp,Bronze,47,0,2,2,0,0,0,0,1784.82,892.41,0.484,0,1,1,0,0.506,23.9,0
100084,2023-12-03,India,Email,Silver,16,0,2,7,1,3,4,1,3714.81,530.69,0.314,3,0,0,0,0.475,0.0,1
100085,2023-08-24,UK/EU,Email,Silver,52,1,2,15,2,5,3,0,3662.07,244.14,0.322,1,2,2,0,0.583,17.0,1
100086,2026-01-02,UK/EU,Email,Bronze,6,2,4,10,1,0,0,0,1920.58,192.06,0.635,0,0,0,2,0.215,20.6,1
100087,2025-03-01,North America,WhatsApp,Bronze,62,1,4,4,0,0,2,0,1960.72,490.18,0.085,1,1,0,0,0.745,27.1,1
100088,2023-05-19,UAE,Email,Bronze,32,1,3,10,1,1,3,0,1167.23,116.72,0.457,1,2,0,0,0.448,11.8,0
100089,2023-02-16,GCC,SMS,Silver,57,0,1,3,4,3,1,0,4365.86,1455.29,0.55,0,0,0,0,0.586,23.5,0
100090,2024-09-06,India,WhatsApp,Bronze,52,2,3,7,0,1,1,1,1386.43,198.06,0.342,2,1,1,1,0.303,20.2,0
100091,2023-03-28,UAE,WhatsApp,Silver,99,2,3,6,2,5,2,0,4188.07,698.01,0.761,3,2,0,0,0.443,19.1,0
100092,2023-02-03,UAE,Email,Bronze,8,4,10,15,0,1,4,0,2538.36,169.22,0.573,1,1,0,1,0.484,23.9,1
100093,2024-11-13,India,SMS,Silver,98,3,5,11,2,2,2,0,3755.1,341.37,0.307,1,1,0,0,0.446,20.8,0
100094,2022-11-14,North America,SMS,Gold,28,3,4,9,3,9,1,0,6289.06,698.78,0.386,1,0,0,2,0.24,19.7,0
100095,2025-04-04,India,App Push,Silver,6,1,4,7,2,5,1,0,3977.84,568.26,0.1,0,0,0,0,0.343,16.0,0
100096,2025-06-13,UAE,SMS,Silver,8,1,3,6,3,2,4,0,4232.46,705.41,0.706,1,2,0,1,0.473,6.8,1
100097,2023-09-19,Other,SMS,Bronze,41,2,2,6,0,0,3,0,470.59,78.43,0.481,1,0,0,0,0.669,0.2,0
100098,2023-11-23,UAE,Email,Bronze,11,3,7,10,0,2,1,0,1207.41,120.74,0.514,1,1,0,0,0.419,29.6,0
100099,2025-11-03,UAE,WhatsApp,Bronze,44,1,2,7,0,2,1,0,874.79,124.97,0.248,3,0,0,0,0.323,4.2,0
100100,2023-02-16,Other,WhatsApp,Platinum,10,4,7,14,6,7,6,0,6639.11,474.22,0.167,1,1,0,2,0.458,17.1,0
100101,2025-08-09,UK/EU,WhatsApp,Bronze,34,0,5,8,1,2,1,0,1657.11,207.14,0.507,2,0,0,0,0.394,12.5,0
100102,2023-03-27,Other,WhatsApp,Gold,20,1,6,11,4,5,2,1,6039.99,549.09,0.323,4,3,1,2,0.388,19.6,1
100103,2026-05-11,UK/EU,App Push,Silver,49,4,6,7,1,2,1,2,4432.19,633.17,0.567,1,2,1,0,0.539,15.1,1
100104,2023-04-08,India,App Push,Bronze,103,0,3,4,0,3,1,0,1061.56,265.39,0.484,0,0,0,1,0.597,8.4,0
100105,2023-04-22,UAE,Email,Bronze,13,0,2,6,0,0,1,0,400.92,66.82,0.235,0,1,0,1,0.449,17.4,0
100106,2023-05-02,GCC,Email,Bronze,76,2,4,4,1,0,0,0,1335.77,333.94,0.462,5,1,0,0,0.263,2.1,0
100107,2023-10-14,Other,App Push,Bronze,39,1,6,21,1,6,1,0,3152.57,150.12,0.512,1,2,0,0,0.456,33.7,1
100108,2024-07-16,North America,WhatsApp,Bronze,76,0,3,4,1,3,2,1,3098.83,774.71,0.397,2,1,0,1,0.397,24.9,0
100109,2023-08-17,GCC,Phone,Silver,3,1,6,11,2,3,2,2,-407.02,310.96,0.396,1,0,0,1,0.255,4.9,0
100110,2025-04-20,GCC,SMS,Bronze,27,1,3,12,1,5,1,0,2970.58,247.55,0.0,1,1,0,3,0.617,11.0,0
100111,2023-05-01,UAE,Phone,Gold,62,1,3,5,2,3,2,2,5058.91,1011.78,0.568,1,4,0,0,0.713,23.7,1
100112,2024-03-18,GCC,Email,Bronze,37,0,3,7,1,1,1,0,2104.11,300.59,0.577,3,3,0,0,0.414,11.3,0
100113,2024-08-03,North America,WhatsApp,Bronze,156,2,3,3,0,2,1,1,1622.32,540.77,0.261,0,0,0,0,0.625,24.8,0
100114,2024-05-28,UAE,SMS,Bronze,31,1,7,9,0,4,1,0,1557.06,173.01,,0,2,0,1,0.6,19.1,0
100115,2024-02-28,GCC,Email,Bronze,0,1,2,4,1,1,0,2,3102.1,775.52,0.507,5,1,1,0,0.551,10.1,0
100116,2026-03-29,Other,Email,Silver,89,3,8,16,3,4,3,1,4560.83,285.05,0.244,1,4,2,1,0.445,24.6,0
100117,2025-11-03,India,Email,Silver,0,1,1,4,2,3,1,0,3393.09,848.27,0.639,2,1,1,1,0.872,30.9,1
100118,2025-06-04,GCC,Email,Platinum,98,4,10,19,5,12,8,0,9842.0,518.0,0.247,0,3,1,0,0.458,6.4,0
100119,2025-12-09,UAE,App Push,Silver,15,1,3,6,2,2,0,0,3182.03,530.34,0.628,1,5,1,0,0.441,11.1,0
100120,2024-08-31,UAE,Phone,Bronze,42,0,1,3,0,1,0,0,938.88,312.96,0.539,0,0,0,0,0.338,4.8,0
100121,2023-10-09,UAE,App Push,Bronze,58,1,3,7,0,6,1,0,1863.92,266.27,0.47,2,3,0,0,0.454,20.6,1
100122,2023-10-29,UAE,Phone,Bronze,43,2,2,6,0,2,0,0,1855.01,309.17,0.381,0,2,0,1,0.484,36.9,0
100123,2024-07-17,UAE,App Push,Silver,3,3,7,21,3,3,1,0,4264.89,203.09,0.468,0,0,0,3,0.21,16.8,0
100124,2023-01-15,UAE,App Push,Bronze,0,1,4,6,1,2,1,0,1844.59,307.43,0.614,1,2,1,2,0.193,4.5,1
100125,2024-03-04,UAE,Email,Bronze,28,1,2,4,1,1,2,0,1461.75,365.44,0.304,0,1,0,1,0.536,7.0,0
100126,2026-01-28,UAE,Email,Bronze,19,3,5,10,0,2,1,0,1654.27,165.43,0.689,1,0,0,0,0.561,15.6,1
100127,2023-05-24,Other,App Push,Bronze,11,1,2,3,3,1,1,0,3100.99,1033.66,0.241,1,1,0,0,0.459,3.0,0
100128,2024-02-20,UAE,SMS,Silver,7,0,4,7,1,3,1,1,4055.78,579.4,0.43,2,2,2,2,0.443,32.9,1
100129,2023-11-26,GCC,WhatsApp,Platinum,0,3,12,32,4,15,5,0,6761.32,211.29,0.443,2,0,0,3,0.571,20.3,0
100130,2024-03-04,North America,SMS,Bronze,104,3,5,12,2,1,2,0,3090.41,257.53,0.406,2,2,1,0,0.478,5.2,1
100131,2024-03-21,UAE,Email,Silver,26,4,6,10,2,4,1,0,3879.5,387.95,0.351,2,3,2,0,0.46,10.3,1
100132,2026-01-12,GCC,Email,Bronze,10,1,1,2,0,3,1,0,1601.72,800.86,0.271,1,2,1,0,0.667,15.7,0
100133,2024-03-13,North America,WhatsApp,Bronze,60,4,20,29,0,6,3,0,2558.77,88.23,0.505,2,1,1,5,0.71,18.8,0
100134,2023-04-11,India,SMS,Bronze,24,1,6,9,1,0,2,0,1613.42,179.27,,0,1,0,0,0.239,20.8,0
100135,2025-03-13,UAE,Email,Bronze,49,1,3,5,1,1,1,0,2303.52,460.7,0.492,5,2,0,0,0.381,11.5,0
100136,2024-01-10,UK/EU,WhatsApp,Bronze,29,1,4,9,2,0,2,0,2533.34,281.48,0.477,0,1,0,0,0.6,19.2,0
100137,2026-04-07,UK/EU,SMS,Bronze,50,0,2,7,1,3,1,0,3133.65,447.66,0.384,1,0,0,1,0.487,25.9,0
100138,2025-01-10,GCC,SMS,Silver,44,0,1,7,2,4,0,0,4569.26,652.75,0.552,0,2,1,0,0.525,16.8,0
100139,2024-09-04,UAE,WhatsApp,Bronze,0,4,6,8,0,4,2,1,2340.5,292.56,0.592,0,2,0,1,0.503,42.9,0
100140,2022-07-16,UAE,SMS,Bronze,63,2,9,12,1,3,0,0,2096.57,174.71,0.437,0,1,1,3,0.458,22.9,0
100141,2025-07-19,North America,App Push,Bronze,47,1,5,10,0,1,1,0,1923.04,192.3,0.391,2,3,1,0,0.338,28.2,0
100142,2025-04-21,GCC,SMS,Bronze,107,1,5,5,0,3,0,0,1101.81,220.36,0.673,2,4,2,0,0.432,18.3,0
100143,2024-10-14,UAE,Phone,Gold,57,1,2,5,2,2,0,0,4609.91,921.98,0.241,2,1,0,0,0.596,19.0,1
100144,2022-07-02,India,App Push,Silver,35,1,3,3,0,2,0,4,4447.74,1482.58,0.234,0,1,0,1,0.674,25.6,1
100145,2023-01-17,Other,App Push,Silver,129,1,5,9,0,4,1,2,4296.28,477.36,0.292,0,1,1,2,0.262,29.8,0
100146,2026-04-02,UAE,WhatsApp,Silver,26,2,3,8,2,2,3,0,3773.02,471.63,0.538,1,2,2,1,0.388,16.6,1
100147,2025-06-21,UAE,WhatsApp,Bronze,140,1,4,6,1,0,0,0,1907.29,317.88,0.507,2,3,0,2,0.533,2.9,1
100148,2023-03-04,GCC,SMS,Gold,0,8,14,24,2,11,11,1,5338.48,222.44,0.177,0,1,1,1,0.644,30.4,0
100149,2026-02-27,India,SMS,Platinum,132,1,7,10,5,4,1,2,7058.29,705.83,0.404,1,1,1,1,0.583,32.5,1
100150,2023-01-14,GCC,Email,Bronze,44,1,2,3,2,2,1,0,2755.18,918.39,0.351,1,2,0,0,0.45,16.1,0
100151,2025-04-14,North America,Email,Bronze,19,0,3,7,0,4,3,0,1827.58,261.08,0.253,1,2,1,0,0.515,9.0,0
100152,2022-10-17,UAE,Email,Gold,30,1,2,4,4,2,2,0,5414.57,1353.64,0.308,0,0,0,0,0.593,7.6,0
100153,2025-03-28,GCC,WhatsApp,Bronze,16,0,0,5,0,2,1,0,1980.31,396.06,0.545,2,1,0,0,0.459,31.0,0
100154,2024-09-07,GCC,Email,Silver,215,0,3,8,2,3,0,0,4430.07,553.76,0.554,2,0,0,0,0.666,30.3,0
100155,2023-10-18,GCC,WhatsApp,Bronze,57,1,4,5,0,2,0,1,2180.73,436.15,0.292,1,0,0,0,0.532,5.2,0
100156,2025-11-22,GCC,Email,Bronze,9,4,10,13,0,3,2,0,3072.16,236.32,0.473,2,1,0,1,0.592,15.9,0
100157,2024-03-16,UK/EU,Email,Gold,4,1,4,9,3,4,2,1,6318.26,702.03,0.408,2,6,3,0,0.504,21.1,0
100158,2024-05-29,UAE,SMS,Platinum,7,1,1,6,7,2,1,0,7474.25,1245.71,0.214,0,1,0,0,0.592,39.1,0
100159,2023-04-27,UK/EU,App Push,Silver,12,3,5,7,2,2,0,0,4191.77,598.82,0.624,0,2,0,1,0.552,0.0,1
100160,2022-06-27,UAE,Email,Platinum,10,2,8,22,5,7,7,0,6588.0,299.45,0.254,0,1,1,1,0.336,14.4,0
100161,2023-10-15,India,App Push,Bronze,39,1,5,11,1,6,3,0,2999.18,272.65,0.435,1,1,0,2,0.497,29.0,0
100162,2024-10-13,GCC,Email,Bronze,22,1,3,9,0,1,1,0,1318.38,146.49,0.424,3,1,1,2,0.267,16.4,0
100163,2024-10-17,India,SMS,Bronze,39,2,8,13,0,6,5,0,1585.78,121.98,0.47,2,4,2,1,0.766,18.0,1
100164,2024-10-01,UAE,Email,Bronze,123,2,4,11,1,0,0,0,1277.19,116.11,0.289,4,0,0,1,0.901,2.3,0
100165,2023-03-14,Other,Email,Silver,60,0,0,2,2,1,0,0,4378.96,2189.48,0.264,3,0,0,0,0.617,0.6,0
100166,2025-02-16,North America,Email,Silver,25,0,1,3,0,1,0,0,3241.95,1080.65,,0,1,1,0,0.468,19.2,0
100167,2025-09-25,North America,Email,Bronze,50,2,6,8,2,1,2,0,2995.64,374.46,0.392,0,3,0,0,0.583,22.5,0
100168,2025-01-28,North America,WhatsApp,Bronze,7,2,5,8,1,1,0,0,2386.49,298.31,0.268,2,0,0,0,0.457,21.3,0
100169,2026-04-19,UAE,WhatsApp,Silver,35,0,10,23,3,8,1,0,4196.78,182.47,,5,3,3,3,0.505,22.0,0
100170,2025-12-21,India,Email,Silver,11,1,5,12,3,4,4,0,4155.78,346.32,0.266,1,1,1,0,0.331,20.0,1
100171,2026-01-13,UAE,App Push,Bronze,0,2,4,6,0,2,1,0,2848.41,474.73,,3,0,0,1,0.289,9.8,0
100172,2023-05-14,North America,WhatsApp,Bronze,15,0,6,12,0,4,2,0,2171.46,180.96,0.545,1,2,0,3,0.324,6.0,0
100173,2023-07-24,UAE,Email,Bronze,21,3,3,8,0,0,0,1,1864.69,233.09,,0,2,0,0,0.853,19.1,1
100174,2023-08-29,UAE,SMS,Bronze,35,1,2,12,0,6,3,0,1095.65,91.3,0.393,1,5,0,1,0.371,0.0,0
100175,2024-07-30,UK/EU,Email,Bronze,5,0,4,8,0,2,0,0,1111.84,138.98,0.643,2,1,0,2,0.591,15.1,0
100176,2023-07-31,UAE,App Push,Bronze,32,2,4,6,0,4,1,1,1490.69,248.45,0.701,3,0,0,1,0.8,20.4,0
100177,2025-10-03,UK/EU,SMS,Gold,42,7,17,34,2,11,2,1,5731.92,168.59,0.476,0,2,0,5,0.567,21.1,0
100178,2022-11-11,UAE,Email,Gold,2,3,7,12,2,6,0,1,5314.7,442.89,0.425,2,1,0,3,0.61,5.6,1
100179,2024-06-04,India,Email,Gold,19,0,3,8,1,6,0,2,4641.7,580.21,0.635,2,2,1,3,0.813,25.8,0
100180,2022-09-18,North America,Email,Bronze,35,2,6,12,1,4,1,0,1936.8,161.4,0.295,1,1,0,0,0.483,17.2,0
100181,2025-10-16,India,SMS,Bronze,9,2,3,4,1,3,0,0,2019.17,504.79,0.31,0,1,0,0,0.366,12.2,0
100182,2024-06-09,UAE,WhatsApp,Bronze,26,1,2,5,1,1,0,0,2226.23,445.25,0.339,1,1,0,0,0.83,18.0,0
100183,2023-08-30,UAE,Phone,Bronze,89,1,6,8,2,2,4,0,2696.87,337.11,0.126,0,0,0,0,0.328,12.0,0
100184,2024-06-12,UAE,Email,Bronze,33,0,3,4,1,1,0,0,1690.7,422.68,0.533,0,0,0,0,0.52,13.9,0
100185,2024-08-21,UAE,Email,Platinum,106,2,11,24,6,7,5,1,9167.13,381.96,0.497,4,3,2,5,0.602,29.7,1
100186,2025-09-26,India,Email,Bronze,11,2,4,5,0,2,0,1,2444.15,488.83,0.264,0,2,1,1,0.442,18.7,0
100187,2024-11-23,GCC,Email,Bronze,15,1,3,7,1,1,1,1,2817.45,402.49,0.252,0,1,1,1,0.449,33.0,0
100188,2025-06-14,UAE,WhatsApp,Bronze,32,0,3,7,0,2,3,0,483.88,69.13,0.318,1,3,0,0,0.298,24.2,0
100189,2025-03-16,UAE,Phone,Bronze,34,0,4,6,1,1,1,1,2940.48,490.08,0.639,2,2,0,2,0.538,36.5,0
100190,2023-09-17,Other,WhatsApp,Bronze,80,0,3,6,0,1,0,2,-494.09,193.04,0.405,0,1,0,0,0.255,28.9,0
100191,2023-12-02,UAE,Email,Silver,6,1,2,6,1,0,3,0,4094.18,682.36,0.25,0,0,0,1,0.32,35.0,0
100192,2024-01-04,UAE,App Push,Bronze,183,1,1,2,1,1,0,0,1338.8,669.4,0.357,0,1,0,0,0.629,16.5,0
100193,2024-12-20,GCC,App Push,Bronze,22,3,7,11,2,0,0,0,1783.96,162.18,0.327,1,1,1,0,0.592,20.4,0
100194,2022-08-18,UAE,Email,Bronze,10,3,10,18,1,5,2,1,3093.71,171.87,0.545,2,2,1,0,0.545,44.7,1
